1, num, 5, 10, 6
1, death, 8, 0, 0
1, sinki, 0, 0, 0
2, num, 2, 9, 5
2, death, 3, 1, 1
2, sinki, 0, 0, 0
3, num, 1, 5, 266
3, death, 1, 5, 2
3, sinki, 0, 1, 263
4, num, 1, 5, 261
4, death, 0, 0, 5
4, sinki, 0, 0, 0
5, num, 1, 5, 256
5, death, 0, 0, 5
5, sinki, 0, 0, 0
6, num, 0, 4, 215
6, death, 1, 2, 128
6, sinki, 0, 1, 87
7, num, 0, 4, 212
7, death, 0, 0, 3
7, sinki, 0, 0, 0
8, num, 0, 4, 208
8, death, 0, 0, 4
8, sinki, 0, 0, 0
9, num, 0, 5, 209
9, death, 0, 0, 86
9, sinki, 0, 1, 87
10, num, 0, 5, 209
10, death, 0, 0, 0
10, sinki, 0, 0, 0
